tanggal,longitude,latitude
44197,100.8477478,1.12373996
44201,102.76323699951172,0.1908520311117172
44201,102.1787338256836,0.4207696914672851
44201,101.47876739501952,0.927440106868744
44202,101.236548,0.112688
44202,101.342231,0.498856
44202,100.837793,1.400203
44204,103.521853,0.409299
44215,103.34368896,0.51522106
44216,102.47636414,-0.48830479
44216,101.60266113,0.53535789
44216,102.17081451,1.53336692
44217,102.47897339,-0.48726612
44217,102.16975403,-0.45673016
44217,101.40740966796876,0.1013645306229591
44217,102.75525283813477,0.1092962771654129
44217,102.86768341064452,0.1532590687274933
44217,103.11446380615234,0.1790036261081695
44217,102.28836822509766,0.5117482542991638
44217,101.24843978881836,0.6675141751766205
44217,102.0180892944336,1.1917749643325806
44217,100.92141723632812,1.20054030418396
44217,100.9748992919922,1.20819354057312
44217,101.899169921875,1.2946572303771973
44217,101.55709838867188,1.4299970865249634
44217,101.46548461914062,1.4351698160171509
44217,101.8342742919922,1.53370463848114
44217,101.56096649169922,1.890226125717163
44218,102.16966248,-0.45550671
44218,100.79619598,-0.05167374
44218,101.3422315,0.4989915
44218,101.305268,1.276664
44220,103.377499,0.3320383333333333
44220,103.296502,0.583428
44220,102.86000824,1.100396575
44221,102.8798370361328,-0.2497159987688064
44221,103.03694152832033,0.4686205685138702
44222,103.21721649,0.62248003
44224,102.23066711,1.3299197
44225,103.33232117,0.51334363
44225,102.22891998,1.32889259
44226,102.6151123046875,0.2595110535621643
44226,102.64187622070312,0.2633577585220337
44226,102.8443603515625,0.3577488958835602
44226,102.89234161376952,0.6387925148010254
44226,102.74847157796223,0.6926067272822062
44226,102.59730529785156,0.9099829196929932
44226,102.59871674,0.91563135
44227,103.231891,0.300182
44227,100.95962524,1.52173817
44227,100.80726624,1.68226421
44227,101.39971924,1.69851255
44228,102.87373352,0.72753179
44230,102.20101166,1.01414776
44231,101.50904083,1.15572298
44231,101.11082458,1.74742949
44232,103.32798258333332,0.5365529233333333
44232,103.32555771,0.53884944
44232,102.20320892,1.01354051
44232,102.20277405,1.01566982
44232,101.5475502,1.53477168
44232,101.547966,1.5360626
44232,101.40706253,1.672453525
44233,102.41136932373048,-0.185273066163063
44233,103.22917938232422,-0.0834814459085464
44233,103.23363495,-0.080652465
44233,102.8683090209961,0.1492514461278915
44233,102.7303237915039,0.1862584352493286
44233,103.05899810791016,0.2507125437259674
44233,103.32872009,0.5373553
44233,102.39418029785156,0.7433756589889526
44233,102.1451416015625,0.8138177990913391
44233,101.79752349853516,0.8686035871505737
44233,101.48663330078124,0.9273810982704164
44233,100.24253845214844,0.9876479506492616
44233,102.20265961,1.01555431
44233,100.9241943359375,1.1967904567718506
44233,101.54859924,1.53624368
44233,101.24288177490234,1.8092199563980105
44233,101.4010772705078,1.8873486518859863
44233,100.8066864013672,2.1556320190429688
44233,101.05809021,2.19868088
44234,103.23362732,-0.07927786
44234,103.23314667,-0.07898548
44234,103.066799165,-0.052246805
44234,103.4175415,0.09030341
44234,100.565097,0.333042
44234,101.451046,0.462208
44234,103.24603271,0.63600093
44234,101.61936951,0.68717331
44234,101.161913,1.275705
44234,101.246301,1.326077
44234,101.542613985,1.5358969
44234,101.316279,1.9572165
44234,101.57524,2.1021675
44235,103.21552276611328,-0.0708260089159011
44235,103.06588745,-0.05375748
44235,103.49261474609376,0.0911316350102424
44235,103.06317520141602,0.9030601382255554
44235,102.99539947509766,0.9933211207389832
44235,101.77193450927734,1.008009433746338
44235,101.5451507575,1.3070360125
44235,101.543754575,1.535993935
44235,101.24131393432616,1.8401997089385984
44235,101.50677490234376,1.9405275583267207
44236,103.05012512,-0.06056844
44236,103.38398743,0.08126909
44236,103.330541,0.128191
44237,102.74962615966795,0.1032581999897956
44237,101.5476531982422,0.1135054007172584
44237,101.84568786621094,0.1983220130205154
44237,102.85000610351562,0.2099864184856414
44237,103.0338134765625,0.4657461047172546
44237,102.60169983,0.734229595
44237,102.60155487060548,0.7351473569869995
44237,102.602085115,0.735399575
44237,100.724628445,1.070762935
44237,102.38833618164062,1.286052942276001
44237,101.2370834350586,1.834968090057373
44238,103.07701874,-0.2164374
44238,102.60116959,0.73467693
44238,102.38968277,1.28451407
44239,103.06024169921876,0.2538003325462341
44239,103.03010559,0.32346904
44239,103.08865356,0.3629913
44239,103.33762741,0.5183392499999999
44239,103.18231964,0.59832156
44239,102.60395813,0.73594707
44239,100.8491745,1.1250484
44239,101.544677734375,1.4256380796432495
44239,101.57615661621094,1.4304561614990234
44239,101.42880249023438,1.668074905872345
44240,102.65898895,-0.71078479
44240,102.70699310302734,-0.3294702470302582
44240,102.40357208251952,-0.1929952949285507
44240,103.29098765,-0.0795698966666666
44240,103.29629516601562,-0.0791072994470596
44240,103.29015732,-0.076777105
44240,102.84811401367188,0.2098058462142944
44240,103.029426575,0.3220318399999999
